タイトル,話の概要,シチュエーション,学べるPM知識／用語
「締切りの魔法」,無理な納期を押し付けられた新人PMの田中は「できません」と言えず苦しんでいた。「三角制約」について学び、スコープと納期のトレードオフを顧客に提案。結果、顧客が本当に必要な機能だけを選び、プロジェクトは成功する。,経営層から無理な納期を設定された状況で、単純に「できません」と言うのではなく、トレードオフの選択肢を提示する,プロジェクトの三角制約（スコープ・品質・時間のトレードオフ）
「見えないリスクを掘り起こせ」,「そんなことは起きない」と却下したリスク項目が現実になり炎上するプロジェクト。PMの佐藤はこの失敗から学び、次回は「起きないと思うけど、もしも...」という視点でリスク洗い出しを徹底する。,プロジェクトの計画段階でチームがリスクを過小評価し、後に大きな問題として表面化する状況,プレモータム分析
「沈黙の代償」,週次報告で問題が報告されず順調に見えたプロジェクトが突然炎上。PMの鈴木は「なぜ報告しなかった？」と問うと「言いづらかった」と回答。心理的安全性の重要さに気づき、チーム文化を変革する。,チームメンバーが問題を報告できない雰囲気があり、小さな問題が大きくなるまで表面化しない状況,心理的安全性
「ステークホルダーの地図」,複雑なプロジェクトで関係者が多すぎて混乱するPMの山田。ステークホルダー分析を行い、影響力と関心度でマッピング。キーパーソンを特定しコミュニケーション戦略を練り直したところ、意思決定がスムーズになった。,多部署・多人数が関わる大規模プロジェクトで、誰を優先して巻き込むべきか悩む状況,ステークホルダーマッピング
「変更という名の嵐」,開発終盤で次々と追加される仕様変更。「お客様の言うことは絶対」と全て受け入れようとした木村のプロジェクトは破綻寸前に。変更管理プロセスを確立したところ、本当に必要な変更だけが残った。,顧客からの際限ない変更要求に振り回されるプロジェクト終盤の状況,変更管理プロセス
「データで語れ」,経営層への報告で感覚的な説明をして撃沈した新人PMの高橋。PREP法と「データで語る」重要性を学び、客観的データに基づく説明で経営層の承認を得ることに成功する。,経営層や重要なステークホルダーに対してプロジェクトの状況や必要性を説明する会議の場面,PREP法
「バッファの秘密」,いつも納期ギリギリになるPMの中村。バッファを隠して乗り切った後、次のプロジェクトでは「明示的なバッファ」をチームと共有し、リスク対応に使う方法を採用して成功する。,予期せぬ問題が発生してスケジュールが常に遅延するプロジェクトでの対応方法,クリティカルチェーン法
「見積もりの罠」,「3日で終わります」という見積もりが2週間かかり炎上。PMの伊藤はPlanning Pokerを導入し、実装以外の作業も可視化。チーム全体で見積もるプロセスを確立したところ、予測精度が格段に向上した。,エンジニアの見積もりを鵜呑みにして顧客に約束してしまい、大幅に遅延する状況,Planning Poker
「SWOTの眼鏡」,新規プロジェクトの立ち上げで迷走するPMの加藤。SWOTで強み・弱み・機会・脅威を分析し、自社の強みを活かした戦略を立案。不確実性の高い領域は小さく始めて検証するアプローチで成功する。,新規事業や新技術導入など不確実性の高いプロジェクトの方向性を決める場面,SWOT分析
「チームの成長曲線」,新チームを任された小林がタックマンモデルを学び、各段階に合わせたマネジメントを実践。初めは混乱したチームも、徐々に一体感が生まれ高パフォーマンスチームへと成長する。,異なる部署や背景を持つメンバーで新たにチームを組成し、チームワークを構築していく過程,タックマンモデル
「ブレストの流儀」,アイデアが出ず行き詰まったプロジェクト会議。PMの田村がブレインストーミングのルールを徹底し「批判禁止・自由奔放・量を重視・アイデア結合」を促進。結果、革新的な解決策が生まれる。,プロジェクトで技術的な課題に直面し、従来の方法では解決できない状況,ブレインストーミング
「ハードの地図」,複雑なシステム連携で全体像が見えず混乱するチーム。PMの鈴木がマインドマッピングでシステム関係を視覚化。これにより盲点が発見され、設計の大幅な改善につながる。,複雑な要素が絡み合うシステム設計や問題分析の場面,マインドマッピング
「発想の引き出し」,マンネリ化した提案内容に悩むPMの西山。SCAMPER法を使い「代替・結合・適応・修正・他用途・除去・逆転」の視点で既存アイデアを変換。結果、クライアントを魅了する革新的提案が完成。,顧客に対する企画提案で差別化要素を出せず苦戦している状況,SCAMPER法
「偶然の発明」,全く異なる業界の手法をソフトウェア開発に応用し成功したPMの大山。強制連想法を活用して、一見関係ないものを組み合わせる発想法をチームに広め、イノベーションを促進する。,従来の方法論だけでは解決できない複雑な問題に直面したプロジェクト,強制連想法
「逆転の発想」,行き詰まったプロジェクトでPMの木下が「失敗するには何をすべきか」という逆転思考を試みる。「最悪の結果」を想定することで隠れたリスクが明確になり、プロジェクト軌道修正につながる。,プロジェクトが思うように進まず、従来のアプローチでは解決できない状況,逆転思考法
「六つの帽子」,意見対立で紛糾する重要会議。PMの中村がシックスシンキングハットを導入し、全員が同じ「帽子」（視点）で考える手法を実践。多角的な検討が可能になり、バランスの取れた意思決定に成功する。,異なる部署の利害が対立し、建設的な議論ができない会議の場面,シックスシンキングハット
「思い込みの罠」,ユーザーテストで予想外の結果に戸惑うPMの田中。製品の使いにくさを「ユーザーの問題」と考えていたが、自分の認知バイアスに気づく。「当たり前」を疑う姿勢を持ち、製品を大幅改善する。,開発チームには当然と思える操作や概念がユーザーには理解されない状況,認知バイアス
「自分に都合のいい情報」,自信を持って進めていたプロジェクトが大失敗。PMの佐々木は「成功を裏付ける情報」だけを集め、警告サインを無視していたことに気づく。次回は意識的に反証も探し、バランスの取れた判断を心がける。,プロジェクトの成功を信じるあまり、問題点や懸念を無視してしまう状況,確証バイアス
「肩書きの重み」,大手ベンダー推奨という理由だけで選んだツールがプロジェクトに合わず苦戦するチーム。PMの高木は「誰が言ったか」ではなく「何が言われているか」を評価する文化を作り、的確な意思決定ができるようになる。,有名企業や地位の高い人の意見が無批判に受け入れられてしまう状況,権威バイアス
「異論なき会議の危険」,全員一致で進めた戦略が市場で完全に失敗。PMの渡辺は振り返りで「反対意見がなさすぎた」ことに気づく。次のプロジェクトでは意識的に反対意見を求め、議論の質が向上する。,チーム内の和を重視するあまり、批判的意見が出ない会議や検討の場,グループシンク
「すでに費やした時間」,明らかに行き詰まっているのに「ここまで頑張ったのだから」と撤退できないプロジェクト。PMの松本は勇気を出して方向転換を提案。「過去の投資」ではなく「将来の見込み」で判断する重要性をチームに示す。,すでに多くのリソースを投入したプロジェクトが行き詰まっているが撤退決断ができない状況,サンクコスト効果
「選択の科学」,複数の実装案から最適なものを選べず議論が堂々巡りするチーム。PMの川田が決定マトリクスを導入し、重要基準ごとに点数化。感情ではなくデータに基づく選択で合意形成に成功する。,複数の選択肢があり、どれを選ぶべきか判断に迷う意思決定の場面,決定マトリクス
「観察からアクションへ」,変化の激しい市場環境でプロジェクト方針が古びていく問題に直面するPMの野村。OODAループを導入し「観察→方向づけ→決定→行動」のサイクルを高速化。環境適応力が向上し成功を収める。,計画通りに進まない状況で、迅速な軌道修正が必要とされる場面,OODAループ
「強みを活かす戦略」,新規プロジェクトで何から手をつけるべきか悩むPMの加藤。SWOT分析で「強み×機会」を最大化する戦略を立案。自社の得意分野からスタートする判断で効率的に成果を上げる。,限られたリソースで新規プロジェクトの優先順位や方向性を決める場面,SWOT分析による意思決定
「決断の5人衆」,重要な意思決定が迷走し責任の所在が不明確なプロジェクト。PMの伊藤がRAPID意思決定モデルを導入し「推奨・同意・実行・情報提供・決定」の役割を明確化。意思決定プロセスが劇的に改善する。,複数の部署や役職者が関わる複雑な意思決定プロセスがうまく機能していない状況,RAPID意思決定モデル
「リスクの天秤」,二つの実装方法で悩むPMの佐藤。感覚ではなく期待値分析で「発生確率×影響度」を計算し比較。数値化されたリスク評価により、チームも納得の意思決定ができるようになる。,異なるリスクプロファイルを持つ複数の選択肢から最適なものを選ぶ必要がある場面,期待値分析
「要件の階層構造」,曖昧な要件に振り回されるプロジェクト。PMの吉田がMoSCoW法を導入し「Must・Should・Could・Won't」で優先度を明確化。限られたリソースで最大の価値を提供することに成功する。,多すぎる要件の中から何を優先すべきか判断に迷う状況,MoSCoW法
「見えない進捗の可視化」,「80%完了しました」が何ヶ月も続くエンジニア。PMの田村がバーンダウンチャートを導入し、残作業量を視覚化。進捗の誤認識が解消され、正確な状況把握が可能になる。,「ほぼ終わりました」が長期間続き、実際の進捗が見えないプロジェクトの状況,バーンダウンチャート
「期待値のすり合わせ」,「言った/言わない」の認識齟齬で揉めるプロジェクト。PMの木村がアサンプションログを導入し、前提条件を文書化。チーム内の誤解が減少し、円滑なコミュニケーションが実現する。,関係者間で「当然そうするものだと思っていた」という認識の違いからトラブルが発生する場面,アサンプションログ
「自律的なチーム」,細かく指示しないと動かないチームに悩むPMの鈴木。アジャイルのエンパワーメント原則を学び、「どうやるか」ではなく「何を達成すべきか」を伝える管理スタイルに変更。チームの自主性と創造性が開花する。,マイクロマネジメントからの脱却を図り、チームの自律性を高めたい状況,エンパワードチーム
「学びの循環」,同じ失敗を繰り返すプロジェクト組織。PMの佐藤がレトロスペクティブ（振り返り）を制度化し「良かったこと・改善点・アクション」を文書化。組織的な学習サイクルが確立され、パフォーマンスが向上する。,プロジェクト完了後にすぐ次のプロジェクトに移り、教訓が活かされない組織文化,レトロスペクティブ
「影の作業」,公式なタスク以外の「見えない作業」で疲弊するチーム。PMの中村が氷山モデルを用いて「水面下の作業」を可視化。実態に即したリソース配分が可能になり、チームの負荷が適正化される。,公式な計画やタスクリストに現れない作業が多く発生し、チームが疲弊する状況,プロジェクト氷山モデル
「議論の収束術」,意見が分かれて結論が出ない会議に頭を抱えるPMの山本。DACI意思決定フレームワークで「決定者・承認者・貢献者・情報提供者」の役割を明確化。効率的な合意形成プロセスが確立される。,様々な意見が出て議論が発散し、なかなか結論に至らない会議の場面,DACI意思決定フレームワーク
「コミュニケーションの設計図」,情報が適切に流れず問題が発生するプロジェクト。PMの井上がコミュニケーション計画を作成し「誰に・何を・いつ・どのように」伝えるかを体系化。情報の流れが改善され、認識齟齬が減少する。,情報共有が適切に行われず、関係者間で認識の不一致が発生する状況,コミュニケーション計画
「原因の樹を育てる」,表面的な対応を繰り返し本質的解決に至らない問題。PMの斎藤が特性要因図（魚骨図）を活用し根本原因を特定。的確な対策により、同種の問題が再発しなくなる。,問題の本質的な原因が特定できず、対症療法的な対応を繰り返している状況,特性要因図（魚骨図）
「小さく始めて早く学ぶ」,完璧な計画を目指すあまり市場投入が遅れるプロジェクト。PMの村田がMVP（実用最小限の製品）アプローチを導入し、核となる機能から早期リリース。ユーザーフィードバックを基に的確な改善ができるようになる。,完璧を目指すあまり開発が長期化し、市場の変化に対応できなくなっている状況,MVP（実用最小限の製品）
「リスクの上限設定」,不確実性の高いプロジェクトで判断を迷うPMの田中。リスクアペタイト（リスク許容度）を明確化し「ここまでは許容できる」ラインを設定。合理的なリスクテイクが可能になり、イノベーションが促進される。,リスクを取りすぎず、かといって機会損失も避けたいジレンマに直面している場面,リスクアペタイト
「成果の定義」,「仕様は満たしたのに顧客が喜ばない」状況に悩むPMの木下。「完了の定義」から「価値の定義」へと視点を変え、「何を作るか」ではなく「何を達成するか」を重視。顧客満足度が大幅に向上する。,プロジェクトが技術的には成功していても、ビジネス価値を生み出せていない状況,価値の定義（DoD/DoV）
「制約の中の創造性」,時間とリソースの制約に苦しむプロジェクト。PMの小林がクリエイティブ制約理論を活用し「制約があるからこそ生まれる創造性」を引き出す。チームは制約を前向きに捉え直し、革新的なアプローチを開発する。,厳しい制約の中でも成果を出す必要がある困難な状況,クリエイティブ制約理論
「前提からの解放」,長年続いたプロジェクトの非効率な慣習。PMの高橋がゼロベース思考を導入し「なぜそうしているのか」を根本から問い直す。不要なプロセスが廃止され、効率が劇的に向上する。,「昔からそうしているから」という理由で続けられている非効率なプロセスや慣習がある状況,ゼロベース思考
「同じ絵を見る」,関係者によって異なるプロジェクトのイメージ。PMの中田がユーザーストーリーマッピングを実施し、全体像を視覚化。共通理解が生まれ、優先順位の合意形成がスムーズになる。,プロジェクトの全体像や優先順位について関係者間で共通理解が得られていない状況,ユーザーストーリーマッピング
「説得の三要素」,提案が採用されず苦戦するPMの山田。アリストテレスのレトリック（エトス・パトス・ロゴス）を学び、論理だけでなく信頼性と感情にも訴える説得手法を開発。経営層からの承認率が向上する。,論理的に正しい提案なのに、なかなか承認が得られない状況,レトリック三要素
「学習の四段階」,新技術導入で「思ったより難しい」と苦戦するチーム。PMの吉川が意識的非能力モデルを活用し「無意識的無能→意識的無能→意識的有能→無意識的有能」の学習段階を説明。チームの挫折感が軽減され、成長プロセスを前向きに捉えられるようになる。,新しいスキルや技術の習得に苦戦し、チームのモチベーションが低下している状況,意識的非能力モデル
「フロー状態の設計」,集中できない環境で生産性が低下するチーム。PMの鈴木がフロー理論を学び、「適切な挑戦と能力のバランス」を考慮したタスク設計を実施。チームの没入感と生産性が向上する。,割り込みが多く集中できない環境や、スキルとタスクの難易度がマッチしていない状況,フロー理論
「特性に合わせたリード」,同じ接し方ではうまくいかないチームメンバー。PMの木村が状況的リーダーシップモデルを学び、メンバーの成熟度に応じて「指示・コーチング・支援・委任」のスタイルを使い分ける。チーム全体のパフォーマンスと満足度が向上する。,多様なスキルレベルや性格を持つメンバーをまとめる必要がある状況,状況的リーダーシップ
「歯車から人間へ」,疲弊したチームのモチベーション低下に悩むPMの山下。マズローの欲求階層説を学び、メンバーの成長欲求や自己実現欲求を満たす機会を創出。生き生きとしたチームへと再生する。,長期プロジェクトでチームの燃え尽き症候群や形骸化が進んでいる状況,マズローの欲求階層説
「対話の深化」,表面的なコミュニケーションに留まるチーム会議。PMの三浦がアクティブリスニング技術を導入し「聴く→確認→質問→共感」のプロセスを実践。相互理解が深まり、本質的な課題が浮き彫りになる。,意見が対立したり、本音が言えない会議やコミュニケーションの場,アクティブリスニング
「依存関係の地図」,複雑に絡み合うタスク間の関係性に混乱するチーム。PMの加藤がクリティカルパス分析を導入し、プロジェクト完了に直結する重要タスクを特定。リソース配分の最適化が実現する。,多数のタスクがある中で、どれを優先すべきか判断に迷う状況,クリティカルパス分析
「会議のデザイン」,長時間で成果の出ない会議に悩むPMの山本。アジェンダ設計と会議ファシリテーション技術を磨き「目的→議題→時間→アウトプット」を明確化。効率的で創造的な会議文化が醸成される。,だらだらと長引き、明確な結論に至らない会議が多い組織文化,会議ファシリテーション
「知の共有基盤」,属人化した知識でプロジェクト進行に支障をきたすチーム。PMの井上がナレッジマネジメントシステムを構築し、暗黙知の形式知化を促進。チームの集合知が活用できる環境が整備される。,キーパーソンの不在や離職で業務が滞ったり、同じ失敗が繰り返される状況,ナレッジマネジメント
「逆算の思考法」,プロジェクト序盤で計画の実現可能性に疑問を持つPMの田村。バックキャスティングを活用し、理想の完了状態から逆算して必要なステップを特定。実現性の高い計画が策定できるようになる。,理想と現実のギャップが大きく、どう埋めていくか悩んでいる計画段階,バックキャスティング
「未来の分岐点」,不確実性の高い環境での意思決定に悩むPMの佐々木。シナリオプランニングを導入し、複数の未来シナリオを想定した準備を行う。環境変化への適応力が向上し、柔軟な戦略実行が可能になる。,将来の不確実性が高く、一つの計画だけでは不安がある状況,シナリオプランニング
「成功の再現性」,プロジェクト成果にばらつきがある組織。PMの中野がベストプラクティスの体系化とプロセス標準化を推進。「偶然の成功」から「必然の成功」への転換が実現する。,成功プロジェクトの要因が明確でなく、成功体験が組織に定着しない状況,ベストプラクティス体系化
「価値の優先順位」,多すぎる要件に振り回されるプロジェクト。PMの岡田がバリューポイント分析を導入し、各機能の「コスト対価値」を数値化。限られたリソースで最大の価値を生み出す優先順位付けに成功する。,限られたリソースで多くの要件を実現しなければならない状況,バリューポイント分析
「リスクの階層」,想定外のリスクが次々と顕在化するプロジェクト。PMの藤田がリスク階層構造（RBS）を導入し、リスクを体系的に分類・管理。包括的なリスク対応が可能になり、予防措置の効果が向上する。,様々なリスクが発生し、対応が後手に回っている状況,リスク階層構造（RBS）
「顧客視点の物語」,技術仕様に偏ったプロジェクト計画。PMの杉山がユーザーストーリーとペルソナ設計を導入し「誰が・何を・なぜ必要とするか」の視点を強化。顧客中心の開発文化が醸成され、製品の受容性が向上する。,技術的に優れていても顧客ニーズを満たせていない製品開発の状況,ユーザーストーリーとペルソナ
「小さく分けて実現する」,巨大で手が付けられないプロジェクト。PMの中村がWBSを活用し「成果物の階層分解」を実施。大きな目標が管理可能な単位に分割され、着実な進捗が可能になる。,規模が大きすぎて何から手を付けていいかわからない状況,WBS（作業分解構造）
「責任の明確化」,「誰がやるの？」が曖昧で進まないタスク。PMの山田がRASCIマトリクスを導入し「責任者・実行責任者・支援者・相談相手・情報受信者」を明確化。責任の所在が明確になり、タスク完遂率が向上する。,責任の所在が曖昧で、タスクが宙に浮いたり、重複して行われる状況,RASCIマトリクス
「比較の基準点」,プロジェクト評価の客観性に疑問を持つPMの鈴木。ベンチマーキングを導入し、業界標準や過去実績との比較分析を実施。客観的な成功基準が確立され、継続的改善の文化が根付く。,自社のパフォーマンスが良いのか悪いのか、客観的な判断基準がない状況,ベンチマーキング
「5回のなぜ」,繰り返し発生する同種の問題に頭を抱えるPMの佐藤。「5つのなぜ」分析を導入し、表面的な症状から根本原因を追求。本質的な問題解決が可能になり、再発防止につながる。,同じような問題が繰り返し発生し、その場しのぎの対応に終始している状況,5つのなぜ分析
「先行と連携の強化」,部門間の連携不足でボトルネックが発生するプロジェクト。PMの田村がクリティカルチェーン法を導入し、依存関係を考慮したバッファ管理を実施。全体最適化されたスケジュールにより納期遵守率が向上する。,複数部門が関わるプロジェクトで、部門間の連携が円滑でない状況,クリティカルチェーン法
「学びの共有会」,同じ失敗を繰り返す組織文化。PMの村上がナレッジカフェを定期開催し、成功・失敗体験の共有の場を創出。暗黙知が形式知化され、組織的な学習サイクルが確立する。,プロジェクト間で知識や教訓が共有されず、同じ失敗が繰り返される状況,ナレッジカフェ
「契約の精神」,あいまいな合意による後のトラブル。PMの高橋がプロジェクト憲章を導入し、目的・範囲・成功基準・役割を文書化。関係者間の共通理解が形成され、期待値のミスマッチが減少する。,プロジェクトの目的や範囲について関係者間で認識の違いがある状況,プロジェクト憲章
「可視化の力」,複雑な状況を言葉だけで伝えきれず苦戦するPMの小林。情報の視覚化技術を習得し、データや関係性をグラフィカルに表現。直感的な理解が促進され、コミュニケーションの質が向上する。,複雑な情報や全体像を関係者に効果的に伝えられない状況,情報視覚化技術
「改善の小さな一歩」,大規模な改革に抵抗感を示すチーム。PMの松本がカイゼン（継続的改善）哲学を導入し、小さな改善の積み重ねを奨励。抵抗感なく受け入れられ、長期的に大きな変革につながる。,急激な変化に対する組織の抵抗感が強い状況,カイゼン（継続的改善）
「質問の力」,指示待ちの受動的なチームに悩むPMの伊藤。コーチング技術を学び、「答えを与える」から「質問で気づかせる」スタイルに変更。チームの主体性と問題解決力が飛躍的に向上する。,指示がないと動かないチームや、創造性や主体性が発揮されない状況,コーチング技術
「摩擦の低減」,部門間の対立や連携不足に悩むPMの田中。インターフェイスマネジメントを導入し、責任範囲と連携ポイントを明確化。組織の境界における摩擦が軽減され、スムーズな協働が実現する。,異なる部門や組織間の連携がうまくいかず、責任の押し付け合いが発生する状況,インターフェイスマネジメント
「二次障害の防止」,トラブル対応で更なる問題を引き起こすケースが続出。PMの斎藤がインパクト分析の徹底を図り、変更による波及効果を事前検証。予期せぬ副作用が減少し、安全な問題解決が可能になる。,問題解決のために行った対応が新たな問題を引き起こしてしまう状況,インパクト分析
「リスクの分散」,一部の失敗がプロジェクト全体を危険にさらす構造に気づいたPMの野村。ポートフォリオ理論を応用し、複数のアプローチやバックアッププランを用意。一点集中のリスクが分散され、全体の成功確率が向上する。,特定の要素に依存しすぎており、その失敗がプロジェクト全体を危うくする状況,リスクポートフォリオ理論
「パターンの発見」,繰り返し発生する問題の本質が見えないチーム。PMの木下がシステム思考を導入し、表面的な事象の背後にある構造やパターンを分析。根本的な解決策が見出され、持続的な改善が実現する。,対症療法的な対応を繰り返し、根本的な問題解決に至らない状況,システム思考
「協働の設計図」,複数チームの連携が必要なプロジェクトで混乱が生じるケース。PMの山本がチームオブチームズモデルを採用し、自律と連携のバランスを設計。チーム間の協働が円滑になり、全体の一貫性が向上する。,複数の専門チームが連携して一つの目標に取り組む必要がある大規模プロジェクト,チームオブチームズモデル
「学びの循環」,PMの須藤は「計画したから終わり」という文化に問題を感じていた。PDCAサイクルを導入し「計画→実行→評価→改善」の循環を定着させた結果、継続的な改善が組織文化となり、パフォーマンスが向上する。,計画を立てて実行するだけで、検証や改善のプロセスが欠けている状況,PDCAサイクル
「コミットへの旅」,消極的なチームの巻き込みに苦戦するPMの藤原。変化受容曲線を理解し「否定→抵抗→探索→受容」の各段階に応じたアプローチを実践。段階的な巻き込みに成功し、全員参加のプロジェクトへと変貌する。,新しい取り組みや変化に対して抵抗や消極的な態度がある状況,変化受容曲線
「影響力の地図」,複雑な組織構造の中でプロジェクト推進に苦戦するPMの内田。組織政治学を学び、公式・非公式のパワー構造を分析。キーパーソンとの関係構築に注力したことで、組織の壁を越えた協力体制の構築に成功する。,形式的な権限だけでは物事が進まない組織文化や複雑な力関係がある状況,組織政治学
「緊急時の指揮系統」,危機的状況での意思決定の遅れがプロジェクトを危険にさらすケース。PMの加藤が危機管理計画を策定し、緊急時の権限委譲と意思決定プロセスを明確化。迅速な対応が可能になり、被害の最小化に成功する。,予期せぬ重大な問題が発生し、迅速な対応が求められる緊急事態,危機管理計画
「情報の宝庫」,プロジェクトの途中参加者が過去の経緯を把握するのに時間がかかる問題。PMの佐藤がプロジェクトWikiを構築し、決定事項や背景情報を体系的に記録。知識の継承がスムーズになり、チームの生産性が向上する。,プロジェクト関連の情報が散在し、必要な時に必要な情報にアクセスできない状況,ナレッジリポジトリ
「コンフリクトの変容」,チーム内の対立が生産性を低下させる状況。PMの三宅が建設的コンフリクト理論を学び「対立は成長の機会」という視点を導入。意見の違いを創造的な解決策につなげるファシリテーションを実践し、チームの革新性が高まる。,チーム内で意見の対立や衝突があり、それが負の影響を及ぼしている状況,建設的コンフリクト理論
「フェーズの行き来」,複雑な問題に直線的なアプローチで行き詰まるチーム。PMの吉田がデザイン思考を導入し「共感→定義→発想→プロトタイプ→テスト」の反復的プロセスを実践。創造的な解決策が生まれ、ユーザー満足度が向上する。,従来の方法では解決できない複雑な問題や、ユーザーニーズが明確でない状況,デザイン思考
「リスク逆転の発想」,ネガティブなリスク対応に終始するプロジェクト。PMの山下がポジティブリスク（機会）マネジメントを導入し、好機の特定と活用に注力。防御的な姿勢から能動的な姿勢へと転換し、予想以上の成果を達成する。,リスクを脅威としてのみ捉え、チャンスとしての側面を見逃している状況,ポジティブリスク管理
「決断の5段階」,重要な意思決定に時間がかかりすぎるプロジェクト。PMの木村が段階的意思決定モデルを採用し「情報収集→評価→選択→実行→検証」の明確なプロセスを確立。意思決定の質とスピードが両立するようになる。,複雑な意思決定が必要な場面で、判断基準や手順が曖昧なため混乱している状況,段階的意思決定モデル
「引き継ぎの循環」,PMの交代でナレッジが失われる問題。藤井PMがハンドオーバープロセスを体系化し、明確な引き継ぎ手順と文書テンプレートを整備。PMの交代がスムーズになり、プロジェクトの連続性が保たれるようになる。,プロジェクトマネージャーの交代や異動で情報やノウハウが失われる状況,ハンドオーバープロセス
「戦略マップ」,短期的な目標に捕らわれて大局を見失うプロジェクト。PMの西田がバランススコアカードを導入し「財務・顧客・内部プロセス・学習と成長」の4視点でプロジェクト評価。バランスの取れた意思決定が可能になり、持続的な成功につながる。,短期的な成果や特定の指標のみに偏ったプロジェクト評価が行われている状況,バランススコアカード
「計測できるものが改善できる」,感覚的な判断に頼りがちなプロジェクト運営。PMの杉本がKPI設定とメトリクス管理を強化し、客観的なデータに基づく判断を徹底。進捗の可視化と早期警戒システムが確立され、問題の早期発見・対応が可能になる。,プロジェクトの状態や進捗を客観的に把握できず、問題の検出が遅れる状況,KPIとメトリクス管理
「前提の検証」,実現可能性を十分検討せずに計画を進めてしまうケース。PMの村田がフィージビリティスタディを徹底し、技術・市場・組織面での実現可能性を事前評価。根拠のない楽観論が排除され、現実的な計画が策定されるようになる。,楽観的な見通しや未検証の前提に基づいてプロジェクトが進められている状況,フィージビリティスタディ
